,Instruct,Cache Miss,Branch Miss,Cache R,Cache W,LL1 Data C,LL1 Instruct Cache,LLC,D TLB,Instruct Cache,Y
473,40017444,2277621,307402,3843060,307402,4754560,9.39973E+13,166543,4754560,42116,0
474,18482746,1730866,196199,6522356,196199,8085850,1.40734E+14,330489,8087234,87121,0
475,18482746,1730866,198145,4601475,198145,3085637,0,117893,3085598,24410,0
476,25669955,1430065,140179,2858962,140179,2839695,1.40734E+14,210521,2839695,47541,0
477,97577397,2505524,263741,1446259,263741,3770060,9.48371E+13,231872,3770016,40584,0
478,12364502,1145996,124042,631859,124042,4800922,1.40734E+14,144158,4800922,44926,0
479,12364502,1145996,187976,26991014,187976,4746549,0,164694,4746549,45840,0
480,32589385,2250230,237229,2866114,237229,8883335,1.40726E+14,227796,8883335,73410,0
481,18808854,1838658,201611,2371825,201611,493507,9.41688E+13,61836,493507,6362,0
482,30999458,1143906,115031,5790988,115031,23270603,1.40726E+14,685306,23270603,72255,0
483,30999458,1143906,162444,4547959,162444,748609,0,114943,748570,10479,0
484,29406067,1825067,197782,7991881,197782,498744,1.40733E+14,71209,498703,12455,0
485,28432326,1785321,180037,26897253,180037,3349369,9.41988E+13,227562,3349369,40037,0
486,10326886,1862714,194476,19101841,194476,8546933,1.40733E+14,213155,8546933,71941,0
487,10326886,1862714,390961,25872302,390961,21623975,0,532561,21623975,61919,0
488,31445232,2599182,399436,7220063,399436,9665615,1.40727E+14,279746,9665615,80893,0
489,26630125,1700027,189632,3436141,189632,3535446,9.47139E+13,261098,3535446,49134,0
490,10098298,1321339,146030,5376757,146030,17849890,1.40727E+14,441185,17849890,20505,0
491,10098298,1321339,212591,584583,212591,1637683,0,114625,1637642,21805,0
492,14645314,2053696,243337,2382596,243337,5865812,1.40732E+14,213691,5865812,68746,0
493,111920496,1468017,154506,20071525,154506,7527723,9.49078E+13,198568,7527683,56934,0
494,4155599,1532240,147142,2791126,147142,1765241,1.40732E+14,175769,1765241,25138,0
495,4155599,1532240,152802,6431334,152802,1197544,0,137556,1197544,16845,0
496,7178983,2598398,272936,5500260,272936,4754802,1.40732E+14,169637,4754762,46394,0
